source_id	source_name	human_classification	canonical_taxid	canonical_taxon_name	lookup_name
6e3747eb-5f94-e511-814c-000c2902c387	Ledantevirus kern	RG2	1978537	Ledantevirus kern	Kern Canyon virus
6e94aebb-d9cd-ef11-817e-0050568253d3	Alphainfluenzavirus influenzae H13N6	RG2	150171	H13N6 subtype	Alphainfluenzavirus influenzae H13N6
6ec36dbb-5f94-e511-814c-000c2902c387	Aviadenovirus ventriculi	RG1	190061	Fowl aviadenovirus A	Chick embryo lethal orphan (CELO) virus
6ec36dbb-5f94-e511-814c-000c2902c387	Aviadenovirus ventriculi	RG1	3426541	Aviadenovirus ventriculi	Aviadenovirus ventriculi
6ec36dbb-5f94-e511-814c-000c2902c387	Aviadenovirus ventriculi	RG1	3426541	Aviadenovirus ventriculi	Fowl adenovirus 1
6ec36dbb-5f94-e511-814c-000c2902c387	Aviadenovirus ventriculi	RG1	3426541	Aviadenovirus ventriculi	Fowl adenovirus A
6fba34fd-5f94-e511-814c-000c2902c387	Mitchell River virus	RG2	3459237	Mitchell River virus	Mitchell River virus
70325aed-b8dd-e611-8103-0050568253d3	Alphainfluenzavirus influenzae H6N1	RG2	119212	H6N1 subtype	Alphainfluenzavirus influenzae H6N1
7037280f-6094-e511-814c-000c2902c387	Parapoxvirus orf	RG2	3431389	Parapoxvirus orf	Contagious pustular dermatitis virus
7037280f-6094-e511-814c-000c2902c387	Parapoxvirus orf	RG2	3431389	Parapoxvirus orf	Parapoxvirus orf
706f2a09-6094-e511-814c-000c2902c387	Sawgrhavirus minto	RG3	2734399	Sawgrhavirus minto	Minto sawgrhavirus
706f2a09-6094-e511-814c-000c2902c387	Sawgrhavirus minto	RG3	2734399	Sawgrhavirus minto	New Minto virus
710f50e5-5f94-e511-814c-000c2902c387	Ictavirus ictaluridallo1	RG1	3050301	Ictavirus ictaluridallo1	Channel Catfish Virus
710f50e5-5f94-e511-814c-000c2902c387	Ictavirus ictaluridallo1	RG1	3050301	Ictavirus ictaluridallo1	Ictalurid herpesvirus 1
71f969c7-5f94-e511-814c-000c2902c387	Alphaarterivirus equid	RG1	2499620	Alphaarterivirus equid	Equine arteritis virus
727341f1-5f94-e511-814c-000c2902c387	Mammarenavirus lassaense	RG4	3052310	Mammarenavirus lassaense	Lassa mammarenavirus
727341f1-5f94-e511-814c-000c2902c387	Mammarenavirus lassaense	RG4	3052310	Mammarenavirus lassaense	Lassa virus
72c26dbb-5f94-e511-814c-000c2902c387	Sripuvirus chaco	RG2	1985694	Sripuvirus chaco	Chaco sripuvirus
72c26dbb-5f94-e511-814c-000c2902c387	Sripuvirus chaco	RG2	1985694	Sripuvirus chaco	Chaco virus
7313838e-56b6-ef11-817d-0050568252cc	Alphainfluenzavirus influenzae H3N6	RG2	215855	H3N6 subtype	Alphainfluenzavirus influenzae H3N6
